"filename", "language", "Go", "Markdown", "YAML", "Go Checksum File", "Makefile", "Go Module File", "JSON", "JSON with Comments", "TypeScript", "JavaScript", "comment", "blank", "total"
"/Users/manish/main/programming/projects/tabs-flow/backend/.github/workflows/dev-deploy.yml", "YAML", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 2, 8, 39
"/Users/manish/main/programming/projects/tabs-flow/backend/Makefile", "Makefile", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 9, 14, 53
"/Users/manish/main/programming/projects/tabs-flow/backend/README.md", "Markdown", 0, 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 228
"/Users/manish/main/programming/projects/tabs-flow/backend/cmd/auth/lambda_authorizer/main.go", "Go", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 15
"/Users/manish/main/programming/projects/tabs-flow/backend/cmd/auth/main.go", "Go", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 21
"/Users/manish/main/programming/projects/tabs-flow/backend/cmd/email/main.go", "Go", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 16
"/Users/manish/main/programming/projects/tabs-flow/backend/cmd/local_server/main.go", "Go", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25, 91
"/Users/manish/main/programming/projects/tabs-flow/backend/cmd/notes/main.go", "Go", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 22
"/Users/manish/main/programming/projects/tabs-flow/backend/cmd/notifications/main.go", "Go", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 17, 59
"/Users/manish/main/programming/projects/tabs-flow/backend/cmd/spaces/main.go", "Go", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 22
"/Users/manish/main/programming/projects/tabs-flow/backend/cmd/users/main.go", "Go", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 21
"/Users/manish/main/programming/projects/tabs-flow/backend/config/config.go", "Go", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17, 99
"/Users/manish/main/programming/projects/tabs-flow/backend/go.mod", "Go Module File", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 4, 51
"/Users/manish/main/programming/projects/tabs-flow/backend/go.sum", "Go Checksum File", 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 1, 122
"/Users/manish/main/programming/projects/tabs-flow/backend/infra/README.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15
"/Users/manish/main/programming/projects/tabs-flow/backend/infra/bin/infra.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 2, 5, 31
"/Users/manish/main/programming/projects/tabs-flow/backend/infra/cdk.json", "JSON", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 1, 51
"/Users/manish/main/programming/projects/tabs-flow/backend/infra/config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 2, 11, 66
"/Users/manish/main/programming/projects/tabs-flow/backend/infra/event.json", "JSON", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"/Users/manish/main/programming/projects/tabs-flow/backend/infra/jest.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 1, 9
"/Users/manish/main/programming/projects/tabs-flow/backend/infra/lib/stacks/services/auth.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 4, 16, 85
"/Users/manish/main/programming/projects/tabs-flow/backend/infra/lib/stacks/services/email.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 3, 13, 65
"/Users/manish/main/programming/projects/tabs-flow/backend/infra/lib/stacks/services/index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"/Users/manish/main/programming/projects/tabs-flow/backend/infra/lib/stacks/services/notes.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 2, 8, 53
"/Users/manish/main/programming/projects/tabs-flow/backend/infra/lib/stacks/services/notifications.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 3, 16, 91
"/Users/manish/main/programming/projects/tabs-flow/backend/infra/lib/stacks/services/rest-api.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 12, 11, 63
"/Users/manish/main/programming/projects/tabs-flow/backend/infra/lib/stacks/services/service-stack.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 2, 17, 99
"/Users/manish/main/programming/projects/tabs-flow/backend/infra/lib/stacks/services/spaces.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 2, 8, 50
"/Users/manish/main/programming/projects/tabs-flow/backend/infra/lib/stacks/services/users.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 2, 9, 52
"/Users/manish/main/programming/projects/tabs-flow/backend/infra/lib/stacks/stateful/index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"/Users/manish/main/programming/projects/tabs-flow/backend/infra/lib/stacks/stateful/stateful.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 1, 11, 78
"/Users/manish/main/programming/projects/tabs-flow/backend/infra/package.json", "JSON", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 1, 30
"/Users/manish/main/programming/projects/tabs-flow/backend/infra/pnpm-lock.yaml", "YAML", 0, 0, 2324, 0, 0, 0, 0, 0, 0, 0, 0, 333, 2657
"/Users/manish/main/programming/projects/tabs-flow/backend/infra/test/infrastructure.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 13, 3, 18
"/Users/manish/main/programming/projects/tabs-flow/backend/infra/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 1, 32
